response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
20.0276,1.3711,0.1318,0.0279,3.8229,14.8056,200,0.0595
20.0292,1.3673,0.1324,0.0036,3.7333,14.9250,200,0.0583
20.0261,1.3953,0.1308,0.0025,3.4615,15.1668,200,0.0616
20.0302,1.3608,0.1325,0.0028,3.6555,15.0111,200,0.0578
20.0303,1.3668,0.1325,0.0036,3.3740,15.2858,200,0.0578
20.0279,1.3669,0.1302,0.0005,3.9853,14.6752,200,0.0628
20.0017,1.3525,0.1199,0.0048,3.6242,15.0202,200,0.0909
20.0243,1.3652,0.1214,0.0050,3.6806,14.9735,200,0.0790
20.0243,1.3523,0.1214,0.0290,3.5625,15.0805,200,0.0791
20.0243,1.3573,0.1214,0.0252,3.3313,15.3104,200,0.0792
20.0243,1.3591,0.1213,0.0021,4.9904,13.6726,200,0.0793
20.0243,1.3577,0.1213,0.0253,3.4594,15.1820,200,0.0794
20.0244,1.3580,0.1213,0.0252,3.6156,15.0256,200,0.0795
20.0244,1.3580,0.1213,0.0252,4.3201,14.3210,200,0.0795
20.0244,1.3539,0.1213,0.0019,3.5415,15.1272,200,0.0796
20.0245,1.3388,0.1212,0.0026,3.3271,15.3559,200,0.0796
20.0244,1.3586,0.1212,0.0021,3.4455,15.2183,200,0.0797
20.0245,1.3628,0.1212,0.0042,3.7116,14.9458,200,0.0798
20.0245,1.3527,0.1211,0.0018,3.6420,15.0280,200,0.0798
20.0245,1.3584,0.1211,0.0020,3.5735,15.0906,200,0.0799
20.0246,1.3539,0.1211,0.0019,3.5522,15.1166,200,0.0799
20.0246,1.3559,0.1211,0.0000,3.1692,15.4994,200,0.0800
20.0246,1.3587,0.1210,0.0022,3.5524,15.1113,200,0.0801
20.0246,1.3570,0.1210,0.0253,3.9535,14.6888,200,0.0801
20.0246,1.3719,0.1211,0.0122,3.2933,15.3471,200,0.0802
20.0247,1.3536,0.1210,0.0019,4.1886,14.4806,200,0.0802
20.0246,1.3529,0.1210,0.0019,3.5594,15.1105,200,0.0804
20.0247,1.3626,0.1210,0.0044,4.0293,14.6283,200,0.0804
20.0247,1.3731,0.1203,0.0017,3.3071,15.3427,200,0.0805
20.0247,1.3504,0.1209,0.0280,3.7877,14.8586,200,0.0805
20.0248,1.3508,0.1209,0.0279,3.8186,14.8274,200,0.0805
20.0248,1.3528,0.1209,0.0019,3.5645,15.1056,200,0.0806
20.0247,1.3563,0.1208,0.0253,3.7692,14.8740,200,0.0807
20.0248,1.3514,0.1208,0.0288,3.5463,15.0982,200,0.0808
20.0248,1.3522,0.1208,0.0018,4.3572,14.3134,200,0.0809
20.0247,1.3567,0.1207,0.0253,3.8805,14.7623,200,0.0810
20.0247,1.3575,0.1207,0.0022,3.4225,15.2425,200,0.0811
20.0247,1.3510,0.1206,0.0017,3.2458,15.4261,200,0.0812
20.0247,1.3498,0.1206,0.0279,3.4706,15.1763,200,0.0813
20.0246,1.3493,0.1206,0.0280,3.6093,15.0381,200,0.0814
20.0247,1.3493,0.1206,0.0280,3.4966,15.1508,200,0.0815
20.0247,1.3559,0.1205,0.0252,3.6511,14.9926,200,0.0815
20.0247,1.3555,0.1205,0.0253,3.8124,14.8315,200,0.0816
